Medidas de prevención del VIH/sida;Opinión sobre su eficacia;Sexo;Frecuencia de salidas nocturnas en los últimos 12 meses;Total
Usar espermicidas;No eficaz;Varones;Al menos 1 vez al mes;5.317,90
Usar espermicidas;No eficaz;Varones;Menos de 1 vez al mes;2.027,20
Usar espermicidas;No eficaz;Varones;No consta;10,9
Usar espermicidas;No eficaz;Mujeres;Total;7.483,80
Usar espermicidas;No eficaz;Mujeres;Al menos 1 vez al mes;4.619,50
Usar espermicidas;No eficaz;Mujeres;Menos de 1 vez al mes;2.838,30
Usar espermicidas;No eficaz;Mujeres;No consta;26
Usar espermicidas;No consta;Ambos sexos;Total;2.583,30
Usar espermicidas;No consta;Ambos sexos;Al menos 1 vez al mes;1.440,70
Usar espermicidas;No consta;Ambos sexos;Menos de 1 vez al mes;1.120,40
Usar espermicidas;No consta;Ambos sexos;No consta;22,2
Usar espermicidas;No consta;Varones;Total;1.397,00
Usar espermicidas;No consta;Varones;Al menos 1 vez al mes;860,2
Usar espermicidas;No consta;Varones;Menos de 1 vez al mes;524,8
Usar espermicidas;No consta;Varones;No consta;12,1
Usar espermicidas;No consta;Mujeres;Total;1.186,30
Usar espermicidas;No consta;Mujeres;Al menos 1 vez al mes;580,5
Usar espermicidas;No consta;Mujeres;Menos de 1 vez al mes;595,7
Usar espermicidas;No consta;Mujeres;No consta;10,1
Pedir un test de sida a la pareja;Total;Ambos sexos;Total;20.759,60
Pedir un test de sida a la pareja;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Pedir un test de sida a la pareja;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Pedir un test de sida a la pareja;Total;Ambos sexos;No consta;71,1
Pedir un test de sida a la pareja;Total;Varones;Total;10.532,10
Pedir un test de sida a la pareja;Total;Varones;Al menos 1 vez al mes;7.566,40
Pedir un test de sida a la pareja;Total;Varones;Menos de 1 vez al mes;2.930,70
Pedir un test de sida a la pareja;Total;Varones;No consta;35
Pedir un test de sida a la pareja;Total;Mujeres;Total;10.227,50
Pedir un test de sida a la pareja;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Pedir un test de sida a la pareja;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Pedir un test de sida a la pareja;Total;Mujeres;No consta;36,1
Pedir un test de sida a la pareja;Eficaz;Ambos sexos;Total;13.610,70
Pedir un test de sida a la pareja;Eficaz;Ambos sexos;Al menos 1 vez al mes;9.343,00
Pedir un test de sida a la pareja;Eficaz;Ambos sexos;Menos de 1 vez al mes;4.252,40
Pedir un test de sida a la pareja;Eficaz;Ambos sexos;No consta;15,2
Pedir un test de sida a la pareja;Eficaz;Varones;Total;6.711,20
Pedir un test de sida a la pareja;Eficaz;Varones;Al menos 1 vez al mes;4.966,40
Pedir un test de sida a la pareja;Eficaz;Varones;Menos de 1 vez al mes;1.735,30
Pedir un test de sida a la pareja;Eficaz;Varones;No consta;9,5
Pedir un test de sida a la pareja;Eficaz;Mujeres;Total;6.899,50
Pedir un test de sida a la pareja;Eficaz;Mujeres;Al menos 1 vez al mes;4.376,60
Pedir un test de sida a la pareja;Eficaz;Mujeres;Menos de 1 vez al mes;2.517,20
Pedir un test de sida a la pareja;Eficaz;Mujeres;No consta;5,7
Pedir un test de sida a la pareja;No eficaz;Ambos sexos;Total;5.740,30
Pedir un test de sida a la pareja;No eficaz;Ambos sexos;Al menos 1 vez al mes;3.665,60
Pedir un test de sida a la pareja;No eficaz;Ambos sexos;Menos de 1 vez al mes;2.046,70
Pedir un test de sida a la pareja;No eficaz;Ambos sexos;No consta;27,9
Pedir un test de sida a la pareja;No eficaz;Varones;Total;3.099,80
Pedir un test de sida a la pareja;No eficaz;Varones;Al menos 1 vez al mes;2.155,00
Pedir un test de sida a la pareja;No eficaz;Varones;Menos de 1 vez al mes;928,8
Pedir un test de sida a la pareja;No eficaz;Varones;No consta;16
Pedir un test de sida a la pareja;No eficaz;Mujeres;Total;2.640,40
Pedir un test de sida a la pareja;No eficaz;Mujeres;Al menos 1 vez al mes;1.510,60
Pedir un test de sida a la pareja;No eficaz;Mujeres;Menos de 1 vez al mes;1.118,00
Pedir un test de sida a la pareja;No eficaz;Mujeres;No consta;11,9
Pedir un test de sida a la pareja;No consta;Ambos sexos;Total;1.408,70
Pedir un test de sida a la pareja;No consta;Ambos sexos;Al menos 1 vez al mes;750,8
Pedir un test de sida a la pareja;No consta;Ambos sexos;Menos de 1 vez al mes;629,9
Pedir un test de sida a la pareja;No consta;Ambos sexos;No consta;28
Pedir un test de sida a la pareja;No consta;Varones;Total;721,1
Pedir un test de sida a la pareja;No consta;Varones;Al menos 1 vez al mes;444,9
Pedir un test de sida a la pareja;No consta;Varones;Menos de 1 vez al mes;266,7
Pedir un test de sida a la pareja;No consta;Varones;No consta;9,5
Pedir un test de sida a la pareja;No consta;Mujeres;Total;687,5
Pedir un test de sida a la pareja;No consta;Mujeres;Al menos 1 vez al mes;305,9
Pedir un test de sida a la pareja;No consta;Mujeres;Menos de 1 vez al mes;363,2
Pedir un test de sida a la pareja;No consta;Mujeres;No consta;18,4
Hacerse la prueba con frecuencia;Total;Ambos sexos;Total;20.759,60
Hacerse la prueba con frecuencia;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Hacerse la prueba con frecuencia;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Hacerse la prueba con frecuencia;Total;Ambos sexos;No consta;71,1
Hacerse la prueba con frecuencia;Total;Varones;Total;10.532,10
Hacerse la prueba con frecuencia;Total;Varones;Al menos 1 vez al mes;7.566,40
Hacerse la prueba con frecuencia;Total;Varones;Menos de 1 vez al mes;2.930,70
Hacerse la prueba con frecuencia;Total;Varones;No consta;35
Hacerse la prueba con frecuencia;Total;Mujeres;Total;10.227,50
Hacerse la prueba con frecuencia;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Hacerse la prueba con frecuencia;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Hacerse la prueba con frecuencia;Total;Mujeres;No consta;36,1
Hacerse la prueba con frecuencia;Eficaz;Ambos sexos;Total;12.141,40
Hacerse la prueba con frecuencia;Eficaz;Ambos sexos;Al menos 1 vez al mes;8.289,20
Hacerse la prueba con frecuencia;Eficaz;Ambos sexos;Menos de 1 vez al mes;3.818,60
Hacerse la prueba con frecuencia;Eficaz;Ambos sexos;No consta;33,5
Hacerse la prueba con frecuencia;Eficaz;Varones;Total;6.239,40
Hacerse la prueba con frecuencia;Eficaz;Varones;Al menos 1 vez al mes;4.584,20
Hacerse la prueba con frecuencia;Eficaz;Varones;Menos de 1 vez al mes;1.636,70
Hacerse la prueba con frecuencia;Eficaz;Varones;No consta;18,6
Hacerse la prueba con frecuencia;Eficaz;Mujeres;Total;5.902,00
Hacerse la prueba con frecuencia;Eficaz;Mujeres;Al menos 1 vez al mes;3.705,10
Hacerse la prueba con frecuencia;Eficaz;Mujeres;Menos de 1 vez al mes;2.182,00
Hacerse la prueba con frecuencia;Eficaz;Mujeres;No consta;14,9
Hacerse la prueba con frecuencia;No eficaz;Ambos sexos;Total;7.569,70
Hacerse la prueba con frecuencia;No eficaz;Ambos sexos;Al menos 1 vez al mes;4.929,30
Hacerse la prueba con frecuencia;No eficaz;Ambos sexos;Menos de 1 vez al mes;2.616,80
Hacerse la prueba con frecuencia;No eficaz;Ambos sexos;No consta;23,6
Hacerse la prueba con frecuencia;No eficaz;Varones;Total;3.812,40
Hacerse la prueba con frecuencia;No eficaz;Varones;Al menos 1 vez al mes;2.690,40
Hacerse la prueba con frecuencia;No eficaz;Varones;Menos de 1 vez al mes;1.112,10
Hacerse la prueba con frecuencia;No eficaz;Varones;No consta;9,9
Hacerse la prueba con frecuencia;No eficaz;Mujeres;Total;3.757,30
Hacerse la prueba con frecuencia;No eficaz;Mujeres;Al menos 1 vez al mes;2.239,00
Hacerse la prueba con frecuencia;No eficaz;Mujeres;Menos de 1 vez al mes;1.504,60
Hacerse la prueba con frecuencia;No eficaz;Mujeres;No consta;13,7
Hacerse la prueba con frecuencia;No consta;Ambos sexos;Total;1.048,50
Hacerse la prueba con frecuencia;No consta;Ambos sexos;Al menos 1 vez al mes;540,8
Hacerse la prueba con frecuencia;No consta;Ambos sexos;Menos de 1 vez al mes;493,7
Hacerse la prueba con frecuencia;No consta;Ambos sexos;No consta;13,9
Hacerse la prueba con frecuencia;No consta;Varones;Total;480,3
Hacerse la prueba con frecuencia;No consta;Varones;Al menos 1 vez al mes;291,8
Hacerse la prueba con frecuencia;No consta;Varones;Menos de 1 vez al mes;181,9
Hacerse la prueba con frecuencia;No consta;Varones;No consta;6,5
Hacerse la prueba con frecuencia;No consta;Mujeres;Total;568,2
Hacerse la prueba con frecuencia;No consta;Mujeres;Al menos 1 vez al mes;249
Hacerse la prueba con frecuencia;No consta;Mujeres;Menos de 1 vez al mes;311,7
Hacerse la prueba con frecuencia;No consta;Mujeres;No consta;7,4
Preguntar a las parejas por su pasado sexual;Total;Ambos sexos;Total;20.759,60
Preguntar a las parejas por su pasado sexual;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Preguntar a las parejas por su pasado sexual;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Preguntar a las parejas por su pasado sexual;Total;Ambos sexos;No consta;71,1
Preguntar a las parejas por su pasado sexual;Total;Varones;Total;10.532,10
Preguntar a las parejas por su pasado sexual;Total;Varones;Al menos 1 vez al mes;7.566,40
Preguntar a las parejas por su pasado sexual;Total;Varones;Menos de 1 vez al mes;2.930,70
Preguntar a las parejas por su pasado sexual;Total;Varones;No consta;35
Preguntar a las parejas por su pasado sexual;Total;Mujeres;Total;10.227,50
Preguntar a las parejas por su pasado sexual;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Preguntar a las parejas por su pasado sexual;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Preguntar a las parejas por su pasado sexual;Total;Mujeres;No consta;36,1
Preguntar a las parejas por su pasado sexual;Eficaz;Ambos sexos;Total;8.449,80
Preguntar a las parejas por su pasado sexual;Eficaz;Ambos sexos;Al menos 1 vez al mes;5.784,00
Preguntar a las parejas por su pasado sexual;Eficaz;Ambos sexos;Menos de 1 vez al mes;2.649,20
Preguntar a las parejas por su pasado sexual;Eficaz;Ambos sexos;No consta;16,5
Preguntar a las parejas por su pasado sexual;Eficaz;Varones;Total;4.080,90
Preguntar a las parejas por su pasado sexual;Eficaz;Varones;Al menos 1 vez al mes;3.003,80
Preguntar a las parejas por su pasado sexual;Eficaz;Varones;Menos de 1 vez al mes;1.065,90
Preguntar a las parejas por su pasado sexual;Eficaz;Varones;No consta;11,3
Preguntar a las parejas por su pasado sexual;Eficaz;Mujeres;Total;4.368,90
Preguntar a las parejas por su pasado sexual;Eficaz;Mujeres;Al menos 1 vez al mes;2.780,30
Preguntar a las parejas por su pasado sexual;Eficaz;Mujeres;Menos de 1 vez al mes;1.583,40
Preguntar a las parejas por su pasado sexual;Eficaz;Mujeres;No consta;5,2
Preguntar a las parejas por su pasado sexual;No eficaz;Ambos sexos;Total;11.373,10
Preguntar a las parejas por su pasado sexual;No eficaz;Ambos sexos;Al menos 1 vez al mes;7.514,40
Preguntar a las parejas por su pasado sexual;No eficaz;Ambos sexos;Menos de 1 vez al mes;3.827,30
Preguntar a las parejas por su pasado sexual;No eficaz;Ambos sexos;No consta;31,4
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Total;5.978,40
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Al menos 1 vez al mes;4.282,00
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;Menos de 1 vez al mes;1.682,20
Preguntar a las parejas por su pasado sexual;No eficaz;Varones;No consta;14,2
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Total;5.394,70
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Al menos 1 vez al mes;3.232,40
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;Menos de 1 vez al mes;2.145,10
Preguntar a las parejas por su pasado sexual;No eficaz;Mujeres;No consta;17,2
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Total;936,7
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Al menos 1 vez al mes;460,9
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;Menos de 1 vez al mes;452,6
Preguntar a las parejas por su pasado sexual;No consta;Ambos sexos;No consta;23,2
Preguntar a las parejas por su pasado sexual;No consta;Varones;Total;472,8
Preguntar a las parejas por su pasado sexual;No consta;Varones;Al menos 1 vez al mes;280,6
Preguntar a las parejas por su pasado sexual;No consta;Varones;Menos de 1 vez al mes;182,7
Preguntar a las parejas por su pasado sexual;No consta;Varones;No consta;9,5
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Total;463,9
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Al menos 1 vez al mes;180,4
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;Menos de 1 vez al mes;269,9
Preguntar a las parejas por su pasado sexual;No consta;Mujeres;No consta;13,6
Usar un preservativo femenino;Total;Ambos sexos;Total;20.759,60
Usar un preservativo femenino;Total;Ambos sexos;Al menos 1 vez al mes;13.759,40
Usar un preservativo femenino;Total;Ambos sexos;Menos de 1 vez al mes;6.929,10
Usar un preservativo femenino;Total;Ambos sexos;No consta;71,1
Usar un preservativo femenino;Total;Varones;Total;10.532,10
Usar un preservativo femenino;Total;Varones;Al menos 1 vez al mes;7.566,40
Usar un preservativo femenino;Total;Varones;Menos de 1 vez al mes;2.930,70
Usar un preservativo femenino;Total;Varones;No consta;35
Usar un preservativo femenino;Total;Mujeres;Total;10.227,50
Usar un preservativo femenino;Total;Mujeres;Al menos 1 vez al mes;6.193,00
Usar un preservativo femenino;Total;Mujeres;Menos de 1 vez al mes;3.998,40
Usar un preservativo femenino;Total;Mujeres;No consta;36,1
Usar un preservativo femenino;Eficaz;Ambos sexos;Total;10.246,20
Usar un preservativo femenino;Eficaz;Ambos sexos;Al menos 1 vez al mes;7.087,10
Usar un preservativo femenino;Eficaz;Ambos sexos;Menos de 1 vez al mes;3.135,00
Usar un preservativo femenino;Eficaz;Ambos sexos;No consta;24,1
Usar un preservativo femenino;Eficaz;Varones;Total;5.173,00
Usar un preservativo femenino;Eficaz;Varones;Al menos 1 vez al mes;3.888,00
Usar un preservativo femenino;Eficaz;Varones;Menos de 1 vez al mes;1.271,10
Usar un preservativo femenino;Eficaz;Varones;No consta;13,9
Usar un preservativo femenino;Eficaz;Mujeres;Total;5.073,20
Usar un preservativo femenino;Eficaz;Mujeres;Al menos 1 vez al mes;3.199,10
Usar un preservativo femenino;Eficaz;Mujeres;Menos de 1 vez al mes;1.863,90
Usar un preservativo femenino;Eficaz;Mujeres;No consta;10,2
Usar un preservativo femenino;No eficaz;Ambos sexos;Total;8.395,00
Usar un preservativo femenino;No eficaz;Ambos sexos;Al menos 1 vez al mes;5.515,50
Usar un preservativo femenino;No eficaz;Ambos sexos;Menos de 1 vez al mes;2.859,80
Usar un preservativo femenino;No eficaz;Ambos sexos;No consta;19,7
Usar un preservativo femenino;No eficaz;Varones;Total;4.296,30
Usar un preservativo femenino;No eficaz;Varones;Al menos 1 vez al mes;3.037,60
Usar un preservativo femenino;No eficaz;Varones;Menos de 1 vez al mes;1.250,70
Usar un preservativo femenino;No eficaz;Varones;No consta;8
Usar un preservativo femenino;No eficaz;Mujeres;Total;4.098,70
Usar un preservativo femenino;No eficaz;Mujeres;Al menos 1 vez al mes;2.477,90
Usar un preservativo femenino;No eficaz;Mujeres;Menos de 1 vez al mes;1.609,10
Usar un preservativo femenino;No eficaz;Mujeres;No consta;11,7
Usar un preservativo femenino;No consta;Ambos sexos;Total;2.118,40
Usar un preservativo femenino;No consta;Ambos sexos;Al menos 1 vez al mes;1.156,80
Usar un preservativo femenino;No consta;Ambos sexos;Menos de 1 vez al mes;934,3
Usar un preservativo femenino;No consta;Ambos sexos;No consta;27,3
Usar un preservativo femenino;No consta;Varones;Total;1.062,80
Usar un preservativo femenino;No consta;Varones;Al menos 1 vez al mes;640,8
Usar un preservativo femenino;No consta;Varones;Menos de 1 vez al mes;408,9
Usar un preservativo femenino;No consta;Varones;No consta;13,1
Usar un preservativo femenino;No consta;Mujeres;Total;1.055,60
Usar un preservativo femenino;No consta;Mujeres;Al menos 1 vez al mes;516
Usar un preservativo femenino;No consta;Mujeres;Menos de 1 vez al mes;525,4
Usar un preservativo femenino;No consta;Mujeres;No consta;14,1
